,mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
1,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.542157779,,,,,0.75008893
2,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ohe,1.543328434,,,,,56.80155945
3,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.332091674,,,,200,260.4773743
4,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae,1.100998481,,0.177502856,,200,435.0300839
5,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae-sfc,1.349848181,,0.462958723,,200,623.6060658
6,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,svgpvae-10-16-2,1.634201748,,,,199,1782.619392
7,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.528279632,,,,,0.656378984
8,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ohe,1.528913203,,,,,57.51331758
9,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.348688298,,,,200,259.4490066
10,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,lmmvae,1.103252807,,0.162710145,,200,438.0421906
11,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,lmmvae-sfc,1.592100247,,0.500806749,,200,644.3448551
12,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,svgpvae-10-16-2,1.632576421,,,,199,1780.12293
13,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ignore,1.598076378,,,,,0.632837534
14,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ohe,1.598976956,,,,,57.19963956
15,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.248224888,,,,200,260.874557
16,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae,1.086790039,,0.193466842,,200,439.958951
17,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae-sfc,1.416404119,,0.424879491,,200,641.6791253
18,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,svgpvae-10-16-2,1.645123842,,,,199,1780.856572
19,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ignore,1.384934917,,,,,0.599437237
20,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ohe,1.386757539,,,,,57.08808398
21,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-ignore,1.175419507,,,,200,257.7474065
22,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,lmmvae,1.100535442,,0.198349133,,200,439.4239695
23,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,lmmvae-sfc,1.305024098,,0.432267457,,200,642.9381211
24,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,svgpvae-10-16-2,1.429130729,,,,199,1781.340925
